timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:29:36.378476Z	7	command_upload_delay	33	63	402	14	216	185	33	7	2	33	14	12	9	0	18	6144	10000	resyncing	2
2026-06-30T00:29:45.348444Z	9	packet_budget_pressure	19	587	558	42	0	0	0	0	0	42	31	30	9	0	18	8192	10000	disabled	0
2026-06-30T00:29:46.387837Z	7	command_upload_delay	109	126	450	3	248	190	217	15	2	33	9	8	6	0	18	6144	10000	resyncing	2
2026-06-30T00:29:55.393276Z	9	command_upload_delay	27	190	428	64	265	257	8	2	2	25	15	14	7	0	18	8192	10000	disabled	0
2026-06-30T00:29:56.583022Z	7	command_server_queue	47	421	419	28	280	143	218	8	2	50	8	7	7	1	18	6144	10000	predicting	1
2026-06-30T00:30:05.557524Z	9	command_upload_delay	19	266	565	65	563	563	493	18	5	25	14	13	8	0	18	8192	10000	disabled	0
2026-06-30T00:30:06.455270Z	7	command_upload_delay	48	110	496	19	280	280	154	5	2	33	9	8	6	0	18	6144	10000	resyncing	2
2026-06-30T00:30:15.641489Z	9	command_upload_delay	18	330	419	62	428	421	36	15	2	25	17	15	9	0	18	8192	10000	disabled	0
2026-06-30T00:30:16.403352Z	7	command_density	47	141	377	155	139	139	31	17	6	33	14	9	6	0	18	6144	10000	tracking	6
2026-06-30T00:30:25.346952Z	9	packet_budget_pressure	17	363	571	9	0	0	0	0	0	17	16	16	8	0	18	8192	10000	disabled	0
2026-06-30T00:30:26.399975Z	7	command_upload_delay	33	219	466	33	340	339	188	12	7	33	9	7	7	0	18	6144	10000	resyncing	6
2026-06-30T00:30:35.351239Z	9	packet_budget_pressure	75	183	341	8	0	0	0	0	0	33	16	16	9	0	18	8192	10000	disabled	0
2026-06-30T00:30:36.412583Z	7	command_density	31	82	296	14	62	62	30	6	6	33	10	8	6	0	18	6144	10000	resyncing	6
2026-06-30T00:30:45.348224Z	9	command_server_queue	58	58	299	33	100	53	72	4	2	18	10	9	8	0	18	8192	10000	disabled	0
2026-06-30T00:30:46.424483Z	7	command_upload_delay	34	272	327	18	204	203	62	24	6	33	9	8	9	1	18	6144	10000	tracking	3
2026-06-30T00:30:55.347472Z	9	command_server_queue	19	40	106	24	113	35	84	8	2	18	9	8	7	0	18	8192	10000	disabled	0
2026-06-30T00:30:56.436561Z	7	prediction_correction	31	63	470	29	90	78	46	10	2	33	13	10	6	0	18	6144	10000	resyncing	1
2026-06-30T00:31:05.384599Z	9	command_upload_delay	62	94	585	15	204	194	97	17	3	18	10	9	7	0	18	8192	10000	disabled	0
2026-06-30T00:31:06.470139Z	7	command_upload_delay	544	544	357	33	667	543	331	26	19	50	10	7	6	0	18	6144	10000	resyncing	19
2026-06-30T00:31:15.364132Z	9	command_server_queue	38	63	342	52	132	35	103	6	2	25	11	10	8	0	18	8192	10000	disabled	0
2026-06-30T00:31:16.533113Z	7	command_upload_delay	31	78	478	32	269	269	32	14	2	33	10	8	6	0	18	6144	10000	resyncing	2
2026-06-30T00:31:25.349621Z	9	command_server_queue	108	447	481	41	129	78	107	10	4	18	11	9	8	0	18	8192	10000	disabled	0
